StartTime: 2019-06-20 17:45:50.950
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	17:53:01.542	-0.0249	0.0142	1.0000	-0.6104	1.0986	-0.1221	0.5328	1.3239	2.9388	43.9500	-262	0	-228 
0x50	17:53:01.646	-0.0293	0.0132	1.0034	-0.1831	-0.4272	0.3052	0.5164	1.3239	2.9498	43.9500	-262	5	-228 
0x50	17:53:01.750	-0.0190	0.0059	0.9946	-0.1831	-0.1221	-0.1831	0.5054	1.3019	2.9388	43.9700	-261	3	-231 
0x50	17:53:01.841	-0.0244	0.0107	0.9985	-0.0610	-1.1597	-0.4272	0.4999	1.2744	2.9059	43.9600	-259	4	-230 
0x50	17:53:01.947	-0.0195	0.0151	1.0020	0.0000	-1.0986	0.0000	0.4889	1.1865	2.8839	43.9700	-264	5	-230 
0x50	17:53:02.042	-0.0229	0.0093	1.0010	0.1221	-0.2441	-0.0610	0.4999	1.1646	2.8839	43.9700	-265	0	-228 
0x50	17:53:02.141	-0.0205	0.0112	1.0010	0.0000	-0.2441	0.0610	0.5054	1.1426	2.8839	43.9700	-262	2	-231 
0x50	17:53:02.241	-0.0200	0.0103	1.0000	-0.1221	0.0000	0.0000	0.5054	1.1426	2.8894	43.9700	-261	1	-228 
0x50	17:53:02.360	-0.0225	0.0059	1.0015	-0.0610	1.0986	0.0000	0.5054	1.2085	2.8949	43.9600	-261	4	-230 
0x50	17:53:02.442	-0.0239	0.0122	1.0015	0.0000	-0.1831	0.0000	0.5164	1.2909	2.8949	43.9500	-263	1	-230 
0x50	17:53:02.556	-0.0186	0.0059	0.9985	0.0610	-1.0986	0.0000	0.5273	1.2250	2.9059	43.9700	-263	1	-231 
0x50	17:53:02.642	-0.0278	0.0220	1.0039	-0.5493	1.0986	-0.6714	0.4999	1.1975	2.8235	43.9700	-263	3	-227 
0x50	17:53:02.742	-0.0259	0.0220	1.0073	-0.5493	-3.4790	-2.8687	0.4449	1.1371	2.4994	43.9600	-263	2	-226 
0x50	17:53:02.843	-0.0132	-0.0005	0.9966	0.3662	-0.4272	1.5869	0.4559	0.8459	2.5323	43.9700	-264	2	-231 
0x50	17:53:02.985	-0.0254	0.0098	1.0024	-0.0610	2.5635	-0.8545	0.4834	1.3843	2.8949	43.9800	-261	1	-229 
0x50	17:53:03.043	-0.0181	0.0098	1.0078	0.0000	-1.2207	-0.6714	0.4834	1.4667	2.9004	43.9700	-260	2	-231 
0x50	17:53:03.160	-0.0249	0.0068	1.0005	0.0000	-0.9155	-0.8545	0.4779	1.3953	2.8894	43.9800	-256	2	-229 
0x50	17:53:03.243	-0.0322	0.0166	0.9990	-0.1831	1.5259	1.8311	0.4724	1.4008	2.9388	43.9600	-259	1	-231 
0x50	17:53:03.344	-0.0278	0.0112	1.0024	-0.3052	0.7935	0.4883	0.4669	1.4557	2.9498	43.9700	-260	5	-233 
0x50	17:53:03.443	-0.0366	0.0078	0.9990	-0.0610	0.6104	0.3662	0.4614	1.4722	2.9663	43.9700	-260	4	-231 
0x50	17:53:03.543	-0.0342	0.0098	1.0000	-0.1831	0.0610	0.1831	0.4559	1.4996	2.9498	43.9700	-260	5	-233 
0x50	17:53:03.643	-0.0313	0.0078	1.0029	-0.1221	-0.6104	0.0000	0.4504	1.4722	2.9498	43.9700	-257	5	-234 
0x50	17:53:03.744	-0.0269	0.0107	1.0000	-0.0610	-0.3662	0.0000	0.4504	1.4502	2.9498	43.9800	-258	2	-229 
0x50	17:53:03.844	-0.0308	0.0132	1.0024	-0.1221	0.3052	0.0000	0.4504	1.4502	2.9443	43.9700	-261	5	-235 
0x50	17:53:03.960	-0.0288	0.0112	1.0034	0.0000	0.6714	0.0610	0.4449	1.4832	2.9498	43.9900	-263	3	-233 
0x50	17:53:04.044	-0.0293	0.0098	1.0029	0.0000	0.1221	0.2441	0.4559	1.5326	2.9718	43.9900	-263	4	-231 
0x50	17:53:04.144	-0.0322	0.0117	1.0015	-0.0610	-1.0986	0.4272	0.4504	1.4832	2.9993	43.9800	-258	2	-232 
0x50	17:53:04.244	-0.0293	0.0142	1.0010	0.1221	2.5024	1.2207	0.4724	1.4392	3.0267	44.0000	-262	3	-231 
0x50	17:53:04.344	-0.0371	0.0103	1.0044	-0.1831	0.3052	-0.8545	0.4614	1.5985	2.9828	43.9900	-262	3	-233 
0x50	17:53:04.444	-0.0366	0.0122	1.0039	0.0000	0.7935	-0.4272	0.4449	1.6589	2.9773	43.9900	-262	3	-233 
0x50	17:53:04.546	-0.0410	0.0103	1.0000	0.2441	2.4414	-0.0610	0.5109	1.7249	3.0707	43.9800	-259	4	-233 
0x50	17:53:04.645	-0.0425	0.0137	1.0000	0.0000	-0.9155	-1.2817	0.5164	1.7743	3.0597	43.9900	-257	5	-231 
0x50	17:53:04.769	-0.0317	0.0024	0.9961	-0.1221	-0.5493	0.0000	0.5054	1.6095	3.0981	44.0000	-260	6	-233 
0x50	17:53:04.846	-0.0327	0.0098	1.0034	-0.1831	-0.9766	-0.3662	0.4889	1.5930	3.0707	43.9800	-259	5	-233 
0x50	17:53:04.945	-0.0239	0.0073	1.0005	-0.0610	-1.4648	-0.4272	0.4724	1.4612	3.0707	44.0000	-264	3	-231 
0x50	17:53:05.045	-0.0249	0.0083	0.9990	-0.3052	-0.9155	-0.3052	0.4559	1.3403	3.0432	43.9900	-262	2	-230 
0x50	17:53:05.146	-0.0283	0.0132	0.9990	-0.1831	0.5493	-0.1831	0.4614	1.4392	3.0597	43.9900	-263	3	-231 
0x50	17:53:05.245	-0.0269	0.0063	1.0020	-0.0610	-0.2441	-0.0610	0.4614	1.3843	3.0652	44.0100	-262	0	-226 
0x50	17:53:05.345	-0.0190	0.0078	1.0024	0.7324	-2.5635	1.9531	0.4944	1.2085	3.0707	43.9900	-261	4	-229 
0x50	17:53:05.445	-0.0249	0.0146	0.9995	-0.2441	4.0894	-0.4883	0.4889	1.2909	3.1201	44.0000	-263	2	-229 
0x50	17:53:05.546	-0.0356	0.0117	1.0029	-0.1221	0.9155	0.4272	0.4834	1.5820	3.0817	44.0100	-262	2	-233 
0x50	17:53:05.645	-0.0269	0.0117	1.0010	-0.1831	1.2207	0.4272	0.4779	1.5106	3.0927	44.0100	-259	3	-232 
0x50	17:53:05.747	-0.0342	0.0132	0.9985	0.0000	0.5493	0.0000	0.4724	1.5820	3.0542	44.0000	-259	5	-233 
0x50	17:53:05.846	-0.0264	0.0059	0.9990	0.0000	1.0376	0.4883	0.4889	1.6040	3.0322	44.0000	-260	2	-233 
0x50	17:53:05.946	-0.0332	0.0112	1.0005	0.0610	0.2441	-0.4272	0.4999	1.7633	3.1146	44.0100	-259	5	-229 
0x50	17:53:06.046	-0.0352	0.0078	1.0015	-0.0610	-0.5493	0.0000	0.5054	1.7633	3.1091	44.0000	-260	3	-236 
0x50	17:53:06.146	-0.0308	0.0103	0.9980	0.0000	0.0000	-0.3052	0.5054	1.8018	3.1091	44.0000	-256	3	-236 
0x50	17:53:06.246	-0.0352	0.0122	1.0034	0.0000	-0.7935	-0.0610	0.5054	1.7963	3.1201	44.0100	-259	1	-233 
0x50	17:53:06.346	-0.0371	0.0093	1.0029	0.0000	0.5493	-0.0610	0.5054	1.7963	3.1146	44.0100	-258	2	-234 
0x50	17:53:06.446	-0.0352	0.0127	1.0029	0.0000	-0.6714	0.1831	0.5164	1.7413	3.1146	44.0100	-262	2	-233 
0x50	17:53:06.546	-0.0322	0.0151	1.0034	0.0000	0.0610	0.0610	0.5164	1.7194	3.1146	44.0000	-261	2	-233 
0x50	17:53:06.655	-0.0337	0.0137	0.9971	-0.0610	0.0610	0.1221	0.5219	1.7029	3.1091	44.0000	-259	3	-234 
0x50	17:53:06.747	-0.0322	0.0098	0.9990	-0.2441	0.4272	0.2441	0.5164	1.7029	3.1146	44.0300	-257	1	-234 
0x50	17:53:06.847	-0.0273	0.0093	1.0034	0.0610	-0.1831	-0.0610	0.5164	1.7029	3.1201	44.0200	-260	4	-234 
0x50	17:53:06.948	-0.0400	0.0137	1.0044	0.0610	0.3662	-0.1831	0.5164	1.7194	3.1366	44.0100	-259	2	-233 
0x50	17:53:07.047	-0.0386	0.0161	1.0020	0.0610	-0.3052	1.2207	0.5164	1.6864	3.1421	44.0200	-258	4	-231 
0x50	17:53:07.147	-0.0273	0.0112	1.0049	-0.1221	0.0000	0.4272	0.5273	1.5491	3.1641	44.0200	-259	0	-231 
0x50	17:53:07.247	-0.0356	0.0103	1.0020	-0.0610	0.3052	0.0610	0.5273	1.6589	3.1696	44.0200	-261	5	-232 
0x50	17:53:07.347	-0.0264	0.0127	1.0034	0.0000	0.1831	0.3052	0.5273	1.6370	3.1750	44.0200	-261	3	-233 
0x50	17:53:07.448	-0.0229	0.0103	1.0020	0.1221	-2.8076	-2.1973	0.5219	1.5326	3.0322	44.0100	-261	0	-231 
0x50	17:53:07.548	-0.0244	0.0122	1.0005	1.0376	-1.7700	3.9063	0.5658	1.2909	3.1201	44.0200	-260	1	-227 
0x50	17:53:07.651	-0.0259	0.0127	1.0005	-0.1221	0.4272	-0.8545	0.5878	1.2689	3.1476	44.0200	-260	2	-232 
0x50	17:53:07.748	-0.0400	0.0156	1.0024	0.0000	2.3193	2.1362	0.6152	1.3623	3.2684	44.0200	-264	0	-227 
0x50	17:53:07.853	-0.0356	0.0103	0.9976	-0.3662	2.6855	-0.1221	0.5878	1.5765	3.2080	44.0200	-260	0	-227 
0x50	17:53:07.948	-0.0293	0.0127	0.9976	-0.3052	-1.0376	-0.1831	0.5768	1.6150	3.1915	44.0200	-262	4	-232 
0x50	17:53:08.047	-0.0322	0.0127	1.0005	-0.3052	0.6104	0.4883	0.5713	1.4777	3.1311	44.0300	-261	2	-232 
0x50	17:53:08.148	-0.0249	0.0103	1.0024	-0.5493	2.9907	0.0610	0.5823	1.4996	3.1970	44.0500	-261	-1	-229 
0x50	17:53:08.263	-0.0264	0.0103	1.0024	-0.5493	0.2441	-2.6245	0.5768	1.5710	3.1421	44.0400	-261	3	-231 
0x50	17:53:08.348	-0.0254	0.0083	0.9995	0.0000	-2.7466	-0.7324	0.5658	1.4832	3.0377	44.0200	-260	5	-234 
0x50	17:53:08.448	-0.0293	0.0098	0.9990	0.6104	1.6479	3.8452	0.5823	1.4557	3.1146	44.0200	-259	2	-230 
